,,Receiving,Responding,Valuing,Organisation,Characterisation
Bloom Affective UNH,0,ask,answer,complete,adhere,act
Bloom Affective UNH,1,choose,assist,demonstrate,alter,discriminate
Bloom Affective UNH,2,describe,aid,differentiate,arrange,display
Bloom Affective UNH,3,follow,comply,explain,combine,influence
Bloom Affective UNH,4,give,conform,,compare,listen
Bloom Affective UNH,5,hold,discuss,form,,modify
Bloom Affective UNH,6,identify,greet,initiate,defend,perform
Bloom Affective UNH,7,locate,help,invite,,practice
Bloom Affective UNH,8,name,label,join,formulate,propose
Bloom Affective UNH,9,select,,justify,generalize,qualify
Bloom Affective UNH,10,sit,,,,question
Bloom Affective UNH,11,erect,present,read,integrate,revise
Bloom Affective UNH,12,reply,,report,,serve
Bloom Affective UNH,13,use,recite,,order,solve
Bloom Affective UNH,14,,,share,organize,verify
Bloom Affective UNH,15,,,study,prepare,
Bloom Affective UNH,16,,tell,work,relate,
Bloom Affective UNH,17,,write,,synthesize,
Bloom Affective Syracuse,0,,agree,adopt,anticipate,
Bloom Affective Syracuse,1,acknowledge,allow,,collaborate,administrator
Bloom Affective Syracuse,2,attend,,care,confer,advance
Bloom Affective Syracuse,3,,,,consider,advocate
Bloom Affective Syracuse,4,,,complement,consult,
Bloom Affective Syracuse,5,meet,attempt,contribute,coordinate,challenge
Bloom Affective Syracuse,6,observe,,delay,design,change
Bloom Affective Syracuse,7,receive,communicate,encourage,direct,commit
Bloom Affective Syracuse,8,,,endorse,establish,counsel
Bloom Affective Syracuse,9,,,enforce,faciliate,criticize
Bloom Affective Syracuse,10,,cooperate,evaluate,investigate,debate
Bloom Affective Syracuse,11,,,expedite,judge,
Bloom Affective Syracuse,12,,,foster,lead,disagree
Bloom Affective Syracuse,13,,,guide,manage,dispute
Bloom Affective Syracuse,14,,,,,empathize
Bloom Affective Syracuse,15,,exhibit,interact,,enhance
Bloom Affective Syracuse,16,,,,oversee,excuse
Bloom Affective Syracuse,17,,,,plan,forgive
Bloom Affective Syracuse,18,,,maintain,,
Bloom Affective Syracuse,19,,,monitor,recommend,motivate
Bloom Affective Syracuse,20,,,praise,,negotiate
Bloom Affective Syracuse,21,,notify,preserve,simplify,object
Bloom Affective Syracuse,22,,obey,,submit,perservere
Bloom Affective Syracuse,23,,offer,query,,persist
Bloom Affective Syracuse,24,,participate,react,test,
Bloom Affective Syracuse,25,,,respect,very,profess
Bloom Affective Syracuse,26,,,seek,weigh,promote
Bloom Affective Syracuse,27,,relay,,,promulgate
Bloom Affective Syracuse,29,,,subscribe,,reject
Bloom Affective Syracuse,30,,respond,suggest,,resolve
Bloom Affective Syracuse,31,,,support,,
Bloom Affective Syracuse,32,,try,thank,,
Bloom Affective Syracuse,33,,,uphold,,strive
Bloom Affective Syracuse,35,,,,,tolerate
Bloom Affective Syracuse,36,,,,,volunteer
